"Date","Android","Windows","iOS","Unknown","OS X","Linux","Samsung","Chrome OS","KaiOS","Series 40","Nokia Unknown","Playstation","Tizen","Other"
2022-04,54.4,28.55,9.76,5.2,1.26,0.45,0.13,0.08,0.02,0.05,0.03,0.02,0.02,0.03
2022-05,62.66,18.81,10.74,5.35,1.45,0.55,0.16,0.1,0.02,0.05,0.03,0.03,0.03,0.02
2022-06,65.81,17.5,9.5,4.95,1.36,0.52,0.14,0.08,0.01,0.05,0.03,0.02,0.02,0.02
2022-07,62.03,18.74,10.45,6.23,1.57,0.57,0.13,0.09,0.02,0.06,0.03,0.03,0.02,0.03
2022-08,62.43,18.4,10.1,6.69,1.44,0.55,0.13,0.09,0.02,0.05,0.04,0.02,0.02,0.03
2022-09,62.17,18.83,9.96,6.59,1.46,0.57,0.14,0.1,0.02,0.05,0.04,0.03,0.02,0.03
2022-10,62.74,19.37,10.08,5.3,1.56,0.57,0.12,0.1,0.03,0.05,0.04,0.02,0.02,0.02
2022-11,62.14,19.84,10.64,4.99,1.44,0.58,0.12,0.1,0.03,0.04,0.03,0.02,0.02,0.02
2022-12,62.78,18.87,10.75,5.19,1.39,0.6,0.13,0.1,0.08,0.04,0.03,0.02,0.02,0.02
2023-01,62.86,18.11,10.81,5.8,1.42,0.58,0.12,0.1,0.08,0.04,0.02,0.02,0.02,0.02
2023-02,69.11,14.82,8.91,5.17,1.1,0.49,0.16,0.08,0.07,0.03,0.02,0.01,0.01,0.02
2023-03,59.89,18.45,11.08,8.02,1.52,0.57,0.13,0.1,0.09,0.05,0.03,0.02,0.02,0.02
2023-04,57.09,17.41,11.4,11.54,1.43,0.67,0.13,0.1,0.09,0.05,0.03,0.02,0.02,0.02
