"Date","Windows","iOS","Android","OS X","Chrome OS","Unknown","Linux","Samsung","Playstation","Other"
2022-04,29.91,28.94,24.11,11.57,2.84,1.47,0.96,0.14,0.04,0.02
2022-05,31.15,29.01,24.36,10.57,2.4,1.29,1.03,0.13,0.04,0.02
2022-06,31.3,29.12,25.1,10.46,1.62,1.17,1.03,0.14,0.04,0.02
2022-07,29.5,29.5,26.52,10.34,1.42,1.45,1.06,0.15,0.05,0.02
2022-08,31.25,29.03,24.69,10.43,1.9,1.4,1.1,0.14,0.04,0.02
2022-09,31.42,27.96,24.76,10.77,2.56,1.19,1.14,0.14,0.03,0.02
2022-10,31.64,27.2,24.87,11.5,2.57,0.92,1.12,0.14,0.03,0.02
2022-11,32.77,26.67,23.3,12.21,2.65,1.02,1.18,0.15,0.03,0.02
2022-12,31.92,27.38,23.9,11.51,2.65,1.2,1.24,0.16,0.03,0.02
2023-01,32.25,27.24,22.35,12.61,2.69,1.39,1.28,0.14,0.03,0.02
2023-02,30.94,26.55,22.2,13.92,3.35,1.6,1.25,0.13,0.03,0.02
2023-03,31.97,24.85,20.73,15.33,3.82,1.81,1.31,0.12,0.02,0.04
2023-04,32.76,22.85,17.08,17.99,4.64,3.2,1.31,0.12,0.02,0.04
