"Date","Android","Windows","iOS","Unknown","OS X","Linux","Chrome OS","Samsung","Playstation","Other"
2022-04,60.54,28.97,6.25,1.79,1.18,1.11,0.05,0.06,0.01,0.04
2022-05,58.08,31.29,6.47,1.86,1.26,0.88,0.05,0.05,0.01,0.04
2022-06,57.72,32.34,6.15,1.74,1.38,0.51,0.05,0.05,0.01,0.05
2022-07,58.38,31.42,6.35,1.87,1.3,0.53,0.05,0.05,0.02,0.03
2022-08,58.62,30.37,6.74,2.25,1.35,0.52,0.06,0.05,0.01,0.02
2022-09,56.04,32.8,7.05,1.82,1.63,0.49,0.05,0.08,0.01,0.02
2022-10,51.48,37.05,8,1.09,1.78,0.48,0.05,0.04,0.01,0.02
2022-11,53.05,35.48,7.88,1.34,1.65,0.48,0.06,0.04,0.01,0.01
2022-12,55.06,33.18,7.96,1.64,1.57,0.45,0.06,0.05,0.01,0.02
2023-01,48.26,37.2,10.34,1.57,2.02,0.52,0.04,0.04,0.01,0
2023-02,49.1,36.11,10.22,1.93,1.71,0.82,0.05,0.04,0.01,0.01
2023-03,49.53,34.65,10.43,3.01,1.72,0.54,0.05,0.05,0.01,0.01
2023-04,45.36,33.64,10.56,7.69,2,0.63,0.05,0.05,0.01,0.01
