"Date","Android","Windows","iOS","Unknown","OS X","Linux","Chrome OS","Samsung","Playstation","Xbox","Other"
2022-04,52.05,35.53,6.82,2.16,2.16,0.93,0.15,0.12,0.05,0.02,0.01
2022-05,48.73,39.19,6.57,1.86,2.38,0.91,0.19,0.11,0.04,0.02,0.01
2022-06,48.01,39.56,6.64,2.03,2.43,0.95,0.2,0.11,0.04,0.02,0.01
2022-07,48.94,38.17,6.9,2.35,2.31,0.95,0.16,0.12,0.05,0.03,0.01
2022-08,47.56,39.02,7.06,2.55,2.42,0.94,0.25,0.11,0.04,0.02,0.01
2022-09,45.56,41.08,7.35,2.06,2.56,0.92,0.26,0.12,0.04,0.02,0.01
2022-10,45.35,41.72,7.66,1.31,2.6,0.89,0.28,0.12,0.04,0.02,0.01
2022-11,49.3,37.92,7.97,1.44,2,0.95,0.19,0.16,0.04,0.02,0.01
2022-12,51.72,35.12,8.41,1.6,1.83,0.94,0.13,0.16,0.05,0.03,0.01
2023-01,50.76,35.69,8.67,1.75,1.82,0.93,0.11,0.16,0.05,0.04,0.01
2023-02,51.69,34.44,8.71,1.98,1.82,0.92,0.17,0.17,0.05,0.03,0.01
2023-03,52.02,33.71,8.51,2.7,1.77,0.87,0.22,0.15,0.03,0.02,0.01
2023-04,44.66,35.96,8.86,7,1.91,1.11,0.24,0.18,0.04,0.03,0.01
